Date,Precipitation,Snowfall,Avg. Max Temp,Avg. Min Temp,Avg. Mean Temp
Nov-21,1.62,2.6,47.7,30.5,39.1
Dec-21,3.53,2.8,43.3,28.9,36.1
Jan-22,0.68,5.2,28.8,12.1,20.5
Feb-22,2.66,15.3,35.5,17,26.2
Mar-22,3.93,0.8,54,29.7,41.9
Apr-22,2.53,0.2,56.3,36.8,46.5
May-22,4.65,0,72.9,51.7,62.3
Jun-22,2.28,0,84.1,60.6,72.3
Jul-22,7.69,0,82.3,62.4,72.4
Aug-22,5.43,0,79.7,59.8,69.8
Sep-22,1.66,0,73.1,52.9,63
Oct-22,2.04,0,62.6,39,50.8
Nov-22,2.17,4.3,51.2,32.2,41.7
Dec-22,1.97,1.5,35.4,23.3,29.3
Jan-23,2.05,8.3,37.1,27.3,32.2
Feb-23,4.92,0,44.7,25.1,34.9
Mar-23,3.64,10.5,45.8,28.6,37.2
Apr-23,2.67,0.3,61.9,37.2,49.5
May-23,2.16,0,71,45.5,58.2
Jun-23,2.49,0,78.3,54.5,66.4
Jul-23,5.87,0,82.5,60.4,71.4
Aug-23,1.81,0,77.4,57,67.2
Sep-23,M,M,M,M,M
